,Comparison,Taxa,Method,Group,LDA,P.unadj,P.adj,Significance
k__Eukaryota|p__Cryptophyta|p__Eukaryota_Cryptophyta|c__Cryptophyceae,PFU - Water,k__Eukaryota|p__Cryptophyta|p__Eukaryota_Cryptophyta|c__Cryptophyceae,LEfSe,Water,3.447051622,1.38E-05,0.000115611,***
k__Eukaryota|p__Euglenozoa,PFU - Water,k__Eukaryota|p__Euglenozoa,LEfSe,PFU,3.431168952,5.77E-11,6.36E-09,***
k__Eukaryota|p__Euglenozoa|p__Eukaryota_Euglenozoa,PFU - Water,k__Eukaryota|p__Euglenozoa|p__Eukaryota_Euglenozoa,LEfSe,PFU,3.431168952,5.77E-11,6.36E-09,***
k__Bacteria|p__Bacteroidota|p__Bacteria_Bacteroidota|c__Bacteroidia|o__Sphingobacteriales,PFU - Water,k__Bacteria|p__Bacteroidota|p__Bacteria_Bacteroidota|c__Bacteroidia|o__Sphingobacteriales,LEfSe,Water,3.406468665,2.28E-07,3.69E-06,***
k__Eukaryota|p__Cryptophyta|p__Eukaryota_Cryptophyta|c__Cryptophyceae|o__Cryptomonadales,PFU - Water,k__Eukaryota|p__Cryptophyta|p__Eukaryota_Cryptophyta|c__Cryptophyceae|o__Cryptomonadales,LEfSe,Water,3.391807039,6.07E-06,5.98E-05,***
k__Bacteria|p__Actinobacteriota|p__Bacteria_Actinobacteriota|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae,PFU - Water,k__Bacteria|p__Actinobacteriota|p__Bacteria_Actinobacteriota|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae,LEfSe,Water,3.387683262,4.88E-08,1.03E-06,***
k__Bacteria|p__Myxococcota,PFU - Water,k__Bacteria|p__Myxococcota,LEfSe,PFU,3.372567663,4.79E-05,0.000343137,***
k__Bacteria|p__Myxococcota|p__Bacteria_Myxococcota,PFU - Water,k__Bacteria|p__Myxococcota|p__Bacteria_Myxococcota,LEfSe,PFU,3.372567663,4.79E-05,0.000343137,***
k__Bacteria|p__Desulfobacterota,PFU - Water,k__Bacteria|p__Desulfobacterota,LEfSe,PFU,3.371363585,4.88E-08,1.03E-06,***
k__Bacteria|p__Desulfobacterota|p__Bacteria_Desulfobacterota,PFU - Water,k__Bacteria|p__Desulfobacterota|p__Bacteria_Desulfobacterota,LEfSe,PFU,3.371363585,4.88E-08,1.03E-06,***
k__Eukaryota|p__Cryptophyta|p__Eukaryota_Cryptophyta|c__Cryptophyceae|o__Cryptomonadales|f__Cryptomonadales_X,PFU - Water,k__Eukaryota|p__Cryptophyta|p__Eukaryota_Cryptophyta|c__Cryptophyceae|o__Cryptomonadales|f__Cryptomonadales_X,LEfSe,Water,3.366091872,9.85E-06,8.73E-05,***
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae,LEfSe,PFU,3.359729664,0.001904532,0.0076164,**
k__Eukaryota|p__Ciliophora|p__Eukaryota_Ciliophora|c__Oligohymenophorea|o__Peritrichia_2|f__Sessilida|g__Sessilida_X,PFU - Water,k__Eukaryota|p__Ciliophora|p__Eukaryota_Ciliophora|c__Oligohymenophorea|o__Peritrichia_2|f__Sessilida|g__Sessilida_X,LEfSe,PFU,3.356686098,0.000136524,0.00083797,***
k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas,PFU - Water,k__Bacteria|p__Proteobacteria|p__Bacteria_Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas,LEfSe,PFU,3.349380864,0.002001936,0.007919942,**
k__Bacteria|p__Myxococcota|p__Bacteria_Myxococcota|c__Polyangia,PFU - Water,k__Bacteria|p__Myxococcota|p__Bacteria_Myxococcota|c__Polyangia,LEfSe,PFU,3.344145374,4.91E-06,4.95E-05,***
k__Eukaryota|p__Fornicata,PFU - Water,k__Eukaryota|p__Fornicata,LEfSe,PFU,3.338408035,6.51E-06,6.34E-05,***
k__Eukaryota|p__Fornicata|p__Eukaryota_Fornicata,PFU - Water,k__Eukaryota|p__Fornicata|p__Eukaryota_Fornicata,LEfSe,PFU,3.338408035,6.51E-06,6.34E-05,***
k__Eukaryota|p__Fornicata|p__Eukaryota_Fornicata|c__Fornicata_X|o__Diplomonadida,PFU - Water,k__Eukaryota|p__Fornicata|p__Eukaryota_Fornicata|c__Fornicata_X|o__Diplomonadida,LEfSe,PFU,3.337121399,6.51E-06,6.34E-05,***
k__Eukaryota|p__Fornicata|p__Eukaryota_Fornicata|c__Fornicata_X,PFU - Water,k__Eukaryota|p__Fornicata|p__Eukaryota_Fornicata|c__Fornicata_X,LEfSe,PFU,3.337121399,6.51E-06,6.34E-05,***
k__Eukaryota|p__Fornicata|p__Eukaryota_Fornicata|c__Fornicata_X|o__Diplomonadida|f__Hexamitidae,PFU - Water,k__Eukaryota|p__Fornicata|p__Eukaryota_Fornicata|c__Fornicata_X|o__Diplomonadida|f__Hexamitidae,LEfSe,PFU,3.337121399,6.51E-06,6.34E-05,***
k__Eukaryota|p__Fornicata|p__Eukaryota_Fornicata|c__Fornicata_X|o__Diplomonadida|f__Hexamitidae|g__Giardia,PFU - Water,k__Eukaryota|p__Fornicata|p__Eukaryota_Fornicata|c__Fornicata_X|o__Diplomonadida|f__Hexamitidae|g__Giardia,LEfSe,PFU,3.334350853,8.01E-06,7.50E-05,***
k__Eukaryota|p__Fornicata|p__Eukaryota_Fornicata|c__Fornicata_X|o__Diplomonadida|f__Hexamitidae|g__Giardia|s__Giardia_intestinalis,PFU - Water,k__Eukaryota|p__Fornicata|p__Eukaryota_Fornicata|c__Fornicata_X|o__Diplomonadida|f__Hexamitidae|g__Giardia|s__Giardia_intestinalis,LEfSe,PFU,3.334350853,8.01E-06,7.50E-05,***
k__Bacteria|p__Chloroflexi|p__Bacteria_Chloroflexi|c__Anaerolineae,PFU - Water,k__Bacteria|p__Chloroflexi|p__Bacteria_Chloroflexi|c__Anaerolineae,LEfSe,PFU,3.334086696,2.08E-06,2.30E-05,***
